class,accuracy,precision,FPR,FNR,support
24,0.9479166666633754,0.9954751131176676,0.018518518518175583,0.059829059828804154,234
9,0.8020833333305484,0.933333333322963,0.039215686274253495,0.37777777777497945,135
30,0.8715277777747517,0.9069767441755002,0.04419889502738012,0.27102803738064457,107
5,0.795138888886128,0.7702702702598612,0.08994708994661404,0.42424242423813896,99
14,0.8298611111082297,0.8620689654875149,0.01834862385312684,0.6428571428479591,70
8,0.83680555555265,0.9999999999545455,0.0,0.6811594202799831,69
7,0.7916666666639178,0.9999999995,0.0,0.9677419354682623,62
18,0.857638888885911,0.7333333333088888,0.03433476394835049,0.5999999999890909,55
1,0.9374999999967448,0.8723404255133546,0.025531914893508378,0.22641509433535068,53
28,0.8715277777747517,0.8235294117162629,0.012499999999947917,0.7083333333185764,48
31,0.9444444444411652,0.9210526315547092,0.012499999999947917,0.270833333327691,48
19,0.899305555552433,0.9999999999230769,0.0,0.6904761904597506,42
17,0.961805555552216,0.9655172413460167,0.003999999999984,0.2631578947299169,38
4,0.8715277777747517,0.0,0.0,0.9999999999729731,37
6,0.9236111111079042,0.9999999999166667,0.0,0.6470588235103807,34
16,0.9548611111077957,0.9999999999473684,0.0,0.4062499999873047,32
13,0.9131944444412736,0.0,0.0,0.99999999996,25
12,0.9131944444412736,0.0,0.0,0.99999999996,25
3,0.920138888885694,0.5714285713469388,0.01136363636359332,0.8333333332986111,24
22,0.9791666666632668,0.9999999999166667,0.0,0.3333333333148148,18
15,0.9374999999967448,0.0,0.0,0.9999999999444444,18
23,0.9861111111076871,0.9333333332711111,0.0036900369003553873,0.1764705882249135,17
11,0.9722222222188465,0.999999999875,0.0,0.49999999996875,16
10,0.9548611111077957,0.0,0.0,0.9999999999230769,13
25,0.9965277777743177,0.999999999875,0.0,0.11111111109876542,9
33,0.9965277777743177,0.0,0.0,0.9999999989999999,1
21,0.9965277777743177,0.0,0.0,0.9999999989999999,1
27,0.9965277777743177,0.0,0.0,0.9999999989999999,1
2,0.9999999999965278,0.0,0.0,0.0,0
20,0.9999999999965278,0.0,0.0,0.0,0
26,0.9999999999965278,0.0,0.0,0.0,0
29,0.9999999999965278,0.0,0.0,0.0,0
32,0.9999999999965278,0.0,0.0,0.0,0
